"Date","MMTYRCA"
2021-04-01,0.82
2021-05-01,0.81
2021-06-01,0.8
2021-07-01,0.83
2021-08-01,0.83
2021-09-01,0.81
2021-10-01,0.81
2021-11-01,0.81
2021-12-01,0.82
2022-01-01,0.82
2022-02-01,0.83
2022-03-01,0.83
2022-04-01,0.83
2022-05-01,1.08
2022-06-01,1.08
2022-07-01,2.33
2022-08-01,3.07
2022-09-01,3.08
2022-10-01,3.83
2022-11-01,3.83
2022-12-01,4.58
2023-01-01,5.08
2023-02-01,5.08
2023-03-01,5.32
2023-04-01,5.32
2023-05-01,5.58
2023-06-01,5.58
2023-07-01,5.83
2023-08-01,5.83
2023-09-01,6.08
2023-10-01,6.08
2023-11-01,6.08
