"Date","NDRRCA24MCD"
2021-04-01,0.94
2021-05-01,0.92
2021-06-01,0.93
2021-07-01,0.92
2021-08-01,0.92
2021-09-01,0.92
2021-10-01,0.92
2021-11-01,0.92
2021-12-01,0.92
2022-01-01,0.92
2022-02-01,0.93
2022-03-01,0.93
2022-04-01,0.94
2022-05-01,0.97
2022-06-01,1.02
2022-07-01,1.18
2022-08-01,1.26
2022-09-01,1.39
2022-10-01,1.52
2022-11-01,1.66
2022-12-01,1.81
2023-01-01,1.96
2023-02-01,2.03
2023-03-01,2.16
2023-04-01,2.16
2023-05-01,2.18
2023-06-01,2.2
2023-07-01,2.22
2023-08-01,2.22
2023-09-01,2.26
2023-10-01,2.25
2023-11-01,2.25
