"Date","TP10J12"
2002-02-01,3.32
2002-03-01,3.35
2002-04-01,3.17
2002-05-01,3.1
2002-06-01,3.07
2002-07-01,2.91
2002-08-01,2.5
2002-09-01,2.23
2002-10-01,2.38
2002-11-01,2.42
2002-12-01,2.4
2003-01-01,2.22
2003-02-01,1.91
2003-03-01,1.83
2003-04-01,2.07
2003-05-01,1.78
2003-06-01,1.55
2003-07-01,1.94
2003-08-01,2.21
2003-09-01,2.01
2003-10-01,1.86
2003-11-01,1.77
2003-12-01,1.78
2004-01-01,1.65
2004-02-01,1.47
2004-03-01,1.13
2004-04-01,1.59
2004-05-01,1.86
2004-06-01,1.87
2004-07-01,1.74
2004-08-01,1.57
2004-09-01,1.49
2004-10-01,1.38
2004-11-01,1.3
2004-12-01,1.28
2005-01-01,1.39
2005-02-01,1.31
2005-03-01,1.46
2005-04-01,1.38
2005-05-01,1.38
2005-06-01,1.46
2005-07-01,1.71
2005-08-01,1.75
2005-09-01,1.48
2005-10-01,1.75
2005-11-01,1.98
2005-12-01,2.08
2006-01-01,1.94
2006-02-01,1.98
2006-03-01,2.1
2006-04-01,2.28
2006-05-01,2.28
2006-06-01,2.43
2006-07-01,2.43
2006-08-01,2.25
2006-09-01,2.35
2006-10-01,2.49
2006-11-01,2.38
2006-12-01,2.27
2007-01-01,2.46
2007-02-01,2.32
2007-03-01,2.02
2007-04-01,2.09
2007-05-01,2.24
2007-06-01,2.66
2007-07-01,2.62
2007-08-01,2.42
2007-09-01,2.15
2007-10-01,2
2007-11-01,1.29
2007-12-01,1.17
2008-01-01,0.7
2008-02-01,0.4
2008-03-01,-0.01
2008-04-01,0.39
2008-05-01,0.52
2008-06-01,0.67
2008-07-01,0.56
2008-08-01,0.94
2008-09-01,1.42
2008-10-01,2.98
2008-11-01,3.85
2008-12-01,4.03
2009-01-01,3.05
2009-02-01,1.8
2009-03-01,1.6
2009-04-01,1.1
2009-05-01,1
2009-06-01,0.75
2009-07-01,0.93
2009-08-01,0.99
2009-09-01,0.72
2009-10-01,0.39
2009-11-01,-0.04
2009-12-01,-0.09
2010-01-01,-0.37
2010-02-01,-0.54
2010-03-01,-0.59
2010-04-01,-0.67
2010-05-01,-0.49
2010-06-01,-0.05
2010-07-01,-0.04
2010-08-01,-0.22
2010-09-01,-0.21
2010-10-01,-0.64
2010-11-01,-0.37
2010-12-01,-0.71
2011-01-01,-1.22
2011-02-01,-1.64
2011-03-01,-2.5
2011-04-01,-2.9
2011-05-01,-2.21
2011-06-01,-1.25
2011-07-01,-0.7
2011-08-01,0.31
2011-09-01,-0.1
2011-10-01,-0.11
2011-11-01,0.98
2011-12-01,1.79
