"Date","TY3MCD"
2021-04-01,0.04
2021-05-01,0.03
2021-06-01,0.01
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.04
2021-10-01,0.04
2021-11-01,0.04
2021-12-01,0.05
2022-01-01,0.05
2022-02-01,0.22
2022-03-01,0.22
2022-04-01,0.35
2022-05-01,0.52
2022-06-01,0.85
2022-07-01,1.72
2022-08-01,2.41
2022-09-01,2.96
2022-10-01,3.33
2022-11-01,4.22
2022-12-01,4.37
2023-01-01,4.42
2023-02-01,4.7
2023-03-01,4.88
2023-04-01,4.88
2023-05-01,4.85
2023-06-01,5.1
2023-07-01,5.43
2023-08-01,5.43
2023-09-01,5.56
2023-10-01,5.55
2023-11-01,5.55
