"Date","TYRCA12MCD"
2021-04-01,0.85
2021-05-01,0.83
2021-06-01,0.81
2021-07-01,0.83
2021-08-01,0.83
2021-09-01,0.83
2021-10-01,0.86
2021-11-01,0.86
2021-12-01,0.93
2022-01-01,1.04
2022-02-01,1.69
2022-03-01,1.69
2022-04-01,1.96
2022-05-01,2.71
2022-06-01,3.27
2022-07-01,4.11
2022-08-01,4.33
2022-09-01,4.95
2022-10-01,5.61
2022-11-01,6.34
2022-12-01,6.44
2023-01-01,6.43
2023-02-01,6.37
2023-03-01,6.77
2023-04-01,6.77
2023-05-01,6.32
2023-06-01,6.51
2023-07-01,7.23
2023-08-01,7.23
2023-09-01,7.19
2023-10-01,7.3
2023-11-01,7.3
